Category,Non-Head,Head,Surprisal Non-head,Surprisal head
Pair 1,hose,collector,12.319360256195068,11.80183458328247
Pair 1,hoses,collector,15.149631261825562,12.369540214538574
Pair 2,hoe,collector,6.7892327308654785,18.559195518493652
Pair 2,hoes,collector,12.319360256195068,11.80183458328247
Pair 1,rose,organizer,9.155192852020264,15.824398279190063
Pair 1,roses,organizer,11.775903701782227,14.395864486694336
Pair 2,row,organizer,7.31264591217041,16.15071749687195
Pair 2,rows,organizer,9.155192852020264,15.824398279190063
Pair 1,rise,addict,10.708754539489746,13.562288045883179
Pair 1,rises,addict,13.474287033081055,14.657971858978271
Pair 2,lie,addict,6.720237731933594,21.11280083656311
Pair 2,lies,addict,11.467942237854004,12.769356727600098
Pair 1,clause,hider,12.176330804824829,13.958331108093262
Pair 1,clauses,hider,13.527743816375732,14.228485107421875
Pair 2,claw,hider,10.0593421459198,15.86098575592041
Pair 2,claws,hider,12.176330804824829,13.958331108093262
Pair 1,gaze,attractor,11.961739540100098,16.32243800163269
Pair 1,gazes,attractor,13.97207260131836,17.47810411453247
Pair 2,guy,attractor,8.798620700836182,17.935603618621826
Pair 2,guys,attractor,9.19757890701294,16.42851495742798
Pair 1,box,horde,10.912664651870728,16.071732997894287
Pair 1,boxes,horde,13.242708206176758,12.959571838378906
Pair 2,book,horde,10.446146488189697,14.327144622802734
Pair 2,books,horde,11.222643375396729,14.45695447921753
Pair 1,size,machine,8.210692167282104,11.534239530563354
Pair 1,sizes,machine,14.058731317520142,10.680764436721802
Pair 2,sigh,machine,7.119271516799927,12.151069164276123
Pair 2,sighs,machine,8.210692167282104,11.534239530563354
Pair 1,praise,getter,11.442467212677002,15.117978572845459
Pair 1,praises,getter,15.276658773422241,15.072153568267822
Pair 2,tray,getter,9.348535537719727,15.611247777938843
Pair 2,trays,getter,14.81342363357544,12.917944431304932
Pair 1,bruise,expert,13.258918046951294,15.29324460029602
Pair 1,bruises,expert,14.615382432937622,11.377323627471924
Pair 2,brew,expert,9.830865859985352,18.93183708190918
Pair 2,brews,expert,13.258918046951294,15.29324460029602
Pair 1,raise,seeker,10.332053661346436,15.444819211959839
Pair 1,raises,seeker,13.233373641967773,16.015392303466797
Pair 2,ray,seeker,8.18497896194458,16.531991243362427
Pair 2,rays,seeker,10.332053661346436,15.444819211959839
Pair 1,blaze,lover,13.118799209594727,11.11109709739685
Pair 1,blazes,lover,15.10098385810852,10.646016120910645
Pair 2,play,lover,7.697380781173706,13.155579805374146
Pair 2,plays,lover,9.863742113113403,11.844939708709717
Pair 1,fox,avoiders,10.988060474395752,21.83513116836548
Pair 1,foxes,avoiders,13.197841882705688,22.173988819122314
Pair 2,shock,avoiders,11.06267786026001,18.984835147857666
Pair 2,shocks,avoiders,13.651274919509888,19.576782941818237
Pair 1,maze,expert,12.298994064331055,16.026034355163574
Pair 1,mazes,expert,16.31309175491333,11.22005009651184
Pair 2,bay,expert,8.126540660858154,17.29692268371582
Pair 2,bays,expert,11.814308166503906,16.937989711761475
Pair 1,breeze,protector,14.377845525741577,12.267909526824951
Pair 1,breezes,protector,15.904248714447021,13.650824069976807
Pair 2,tree,protector,10.012946128845215,14.918293237686157
Pair 2,trees,protector,12.01228666305542,13.283895492553711
Pair 1,cause,evaluator,8.424187421798706,18.228261470794678
Pair 1,causes,evaluator,11.891648530960083,17.55014443397522
Pair 2,paw,evaluator,8.31760549545288,23.614465951919556
Pair 2,paws,evaluator,9.615571975708008,23.310787677764893
Pair 1,phase,fanatic,12.059058666229248,13.478413581848145
Pair 1,phases,fanatic,15.42393445968628,13.675607442855835
Pair 2,fee,fanatic,8.82749319076538,16.209714889526367
Pair 2,fees,fanatic,14.640069484710693,12.447815895080566
Pair 1,fax,man,12.955649852752686,5.463243722915649
Pair 1,faxes,man,15.972768306732178,7.283931255340576
Pair 2,shack,man,12.132755279541016,7.930790662765503
Pair 2,shacks,man,15.048964500427246,9.685639381408691
Pair 1,vase,owner,12.39568567276001,12.501683473587036
Pair 1,vases,owner,15.116669416427612,10.955087900161743
Pair 2,bee,owner,4.940762996673584,12.885863542556763
Pair 2,bees,owner,12.470991611480713,11.885099649429321
Pair 1,sex,distinctions,10.673161506652832,13.987557649612427
Pair 1,sexes,distinctions,13.18555212020874,17.04183077812195
Pair 2,sack,distinctions,10.663703441619873,20.773499965667725
Pair 2,sacks,distinctions,12.431201696395874,17.404635190963745
Pair 1,size,device,8.210692167282104,12.827104091644287
Pair 1,sizes,device,14.058731317520142,12.774713516235352
Pair 2,sigh,device,7.119271516799927,16.973376989364624
Pair 2,sighs,device,8.210692167282104,12.827104091644287
Pair 1,tax,fee,10.615580797195435,9.496167659759521
Pair 1,taxes,fee,13.708390474319458,9.172168731689453
Pair 2,tack,fee,9.646347522735596,11.12539005279541
Pair 2,tacks,fee,10.615580797195435,9.496167659759521
Pair 1,blaze,admirer,13.118799448013306,15.935259342193604
Pair 1,blazes,admirer,15.100983142852783,15.181315660476685
Pair 2,play,admirer,7.697380781173706,13.65605092048645
Pair 2,plays,admirer,9.863741636276245,13.053449630737305
