"model","effect","estimate","SE","lower95","upper95"
"babyLlama_10M","Regularity × plurality interaction",0.951568716338702,0.182741586108584,0.593395207565877,1.30974222511153
"babyLlama_10M","Regular plural effect
(e.g., ducks trader vs. duck trader)",1.00845596832894,0.240736481997541,0.536612463613764,1.48029947304413
"babyLlama_10M","Irregular plural effect
(e.g., geese trader vs. goose trader)",0.0568872519902427,0.240736481997541,-0.414956252724938,0.528730756705424
"babyLlama_2_10M","Regularity × plurality interaction",1.16095408158646,0.179703070100507,0.808736064189462,1.51317209898345
"babyLlama_2_10M","Regular plural effect
(e.g., ducks trader vs. duck trader)",0.897981532982681,0.23131904105066,0.444596212523387,1.35136685344198
"babyLlama_2_10M","Irregular plural effect
(e.g., geese trader vs. goose trader)",-0.262972548603774,0.23131904105066,-0.716357869063068,0.19041277185552
"distill_tree__360_10M","Regularity × plurality interaction",0.970753086464747,0.169110403742608,0.639296695129235,1.30220947780026
"distill_tree__360_10M","Regular plural effect
(e.g., ducks trader vs. duck trader)",0.867763223392596,0.239131115431305,0.399066237147237,1.33646020963795
"distill_tree__360_10M","Irregular plural effect
(e.g., geese trader vs. goose trader)",-0.102989863072151,0.239131115431305,-0.57168684931751,0.365707123173207
"distill_tree__58_10M","Regularity × plurality interaction",0.940896500434198,0.181991118731032,0.584193907721376,1.29759909314702
"distill_tree__58_10M","Regular plural effect
(e.g., ducks trader vs. duck trader)",0.852423010127892,0.280208657524032,0.30321404138079,1.40163197887499
"distill_tree__58_10M","Irregular plural effect
(e.g., geese trader vs. goose trader)",-0.088473490306306,0.280208657524032,-0.637682459053409,0.460735478440797
"distill_tree__95_10M","Regularity × plurality interaction",1.06787991097991,0.182471089701449,0.710236575165068,1.42552324679475
"distill_tree__95_10M","Regular plural effect
(e.g., ducks trader vs. duck trader)",0.985886827111177,0.264820833897236,0.466837992672593,1.50493566154976
"distill_tree__95_10M","Irregular plural effect
(e.g., geese trader vs. goose trader)",-0.0819930838687305,0.264820833897237,-0.601041918307315,0.437055750569854
"gpt_2_10M","Regularity × plurality interaction",1.04187779341438,0.450856707994957,0.158198645744261,1.92555694108449
"gpt_2_10M","Regular plural effect
(e.g., ducks trader vs. duck trader)",1.40682800539912,0.334766017088834,0.750686611905003,2.06296939889323
"gpt_2_10M","Irregular plural effect
(e.g., geese trader vs. goose trader)",0.36495021198474,0.336639308789148,-0.29486283324199,1.02476325721147
"gpt_bert_10M_causal","Regularity × plurality interaction",0.670102526034643,0.274942231428674,0.131215752434443,1.20898929963484
"gpt_bert_10M_causal","Regular plural effect
(e.g., ducks trader vs. duck trader)",1.21713812223499,0.339250624692473,0.552206897837738,1.88206934663223
"gpt_bert_10M_causal","Irregular plural effect
(e.g., geese trader vs. goose trader)",0.547035596200342,0.339250624692473,-0.117895628196905,1.21196682059759
"gpt_bert_10M_masked","Regularity × plurality interaction",0.505208602973441,0.21732564240638,0.0792503438569374,0.931166862089945
"gpt_bert_10M_masked","Regular plural effect
(e.g., ducks trader vs. duck trader)",1.03861059461339,0.26619072021713,0.516876782987818,1.56034440623897
